Sample	Chao1	Simpson	Shannon	Pielou_e	Observed_species	Faith_pd	Group
BCD_101	3254.29	0.993342	8.77449	0.776423	2523.5	232.621	BCD
BCD_102	1851.28	0.989461	7.92191	0.746246	1569.1	165.686	BCD
BCD_103	2086.73	0.987552	7.48291	0.708149	1516.9	146.183	BCD
BCD_104	1917.76	0.987407	7.52303	0.716839	1442.9	147.182	BCD
BCD_109	2025.14	0.990742	7.89226	0.744777	1548.7	232.539	BCD
BCD_119	1072.78	0.654593	3.83588	0.392522	874.6	105.164	BCD
BCD_121	2355.72	0.991255	7.98915	0.743817	1711.3	162.426	BCD
BCD_130	1812.84	0.986435	7.67798	0.728294	1491.4	155.566	BCD
BCD_136	1345.87	0.967725	6.94296	0.678862	1198.8	103.119	BCD
BCD_138	2885.92	0.993472	8.63076	0.774895	2253.6	196.374	BCD
BCD_14	2203.37	0.988628	7.78883	0.730392	1622.5	154.269	BCD
BCD_28	1468.58	0.979473	7.39438	0.716307	1281	132.07	BCD
BCD_31	2541.43	0.992289	8.60318	0.777401	2144.8	194.097	BCD
BCD_34	2371.17	0.986025	7.83054	0.721723	1845.6	189.569	BCD
BCD_38	2939.94	0.990947	8.63109	0.770862	2347.2	246.9	BCD
BCD_4	2109.89	0.981735	7.41582	0.696317	1607	193.233	BCD
BCD_45	1767.44	0.990699	8.03038	0.759181	1528.3	157.394	BCD
BCD_47	628.454	0.969686	6.49708	0.702583	607.8	82.1375	BCD
BCD_5	1360.32	0.990552	7.93314	0.769536	1268.6	133.719	BCD
BCD_53	2027.62	0.988826	7.74117	0.725265	1633.4	158.48	BCD
BCD_55	1952.66	0.993285	8.35117	0.784224	1605.7	178.776	BCD
BCD_56	2312.6	0.983617	7.83116	0.718298	1914.1	172.144	BCD
BCD_60	1847.13	0.978419	7.07361	0.67827	1378.6	130.658	BCD
BCD_6	2045.06	0.974493	7.36519	0.695055	1548.5	183.394	BCD
BCD_62	2320.88	0.991284	8.17129	0.75855	1749	169.94	BCD
BCD_67	2344.74	0.990577	7.92431	0.739548	1681	169.517	BCD
BCD_71	2632.59	0.991173	8.06679	0.741568	1882	170.163	BCD
BCD_76	1672.3	0.987304	7.69353	0.739685	1352.2	137.424	BCD
BCD_84	2609.25	0.990441	8.12997	0.741634	1995.1	171.05	BCD
BCD_86	1984.05	0.985484	7.73644	0.730268	1545.7	188.325	BCD
BCD_90	2618.64	0.989494	8.01826	0.733876	1945.6	174.041	BCD
