.OTU ID	XP	SZ	YT	QD	WFD	BCD	DY	JZ
Unassigned;Other;Other;Other;Other;Other	4.95E-06	2.59E-06	0	0	0	0	0	0
Candidatus Nitrososphaera	0	0	0	7.78E-07	0	0	0	0
Methanosaeta	0	0	0	0	0	0	0	8.07E-06
unidentified_AC1	7.07E-07	0	0	0	0	0	0	0
unidentified_ABS-6	4.38E-05	3.24E-05	1.50E-06	0	2.52E-06	0	1.87E-05	1.58E-05
unidentified_JG37-AG-4	0	3.89E-06	0	0	8.20E-06	0	2.33E-06	8.07E-06
unidentified_AT-s2-57	0.000236792	0.000799556	0.000158766	7.54E-05	5.23E-05	3.86E-05	0.000539603	0.000127993
unidentified_AT-s54	7.78E-06	0	1.43E-05	0	6.30E-06	0	9.33E-06	6.28E-06
unidentified_Acidobacteria-5	0	1.56E-05	0	0	0	7.29E-07	0	2.39E-06
unidentified_BPC015	0.000807921	0.003165828	0.000144469	3.58E-05	0.000166433	0.000198269	3.73E-05	0.000350784
unidentified_CCU21	0.001064504	0.005296251	0.001077501	0.000490619	0.000569275	0.001328841	3.58E-05	0.001056838
unidentified_RB40	4.24E-06	2.46E-05	0.000187359	3.11E-06	0	7.29E-07	6.22E-06	2.99E-06
unidentified_mb2424	4.24E-06	7.65E-05	3.01E-06	7.78E-07	6.30E-07	1.46E-06	5.44E-06	1.35E-05
unidentified_iii1-15	8.13E-05	0.000230666	2.03E-05	2.41E-05	3.78E-06	1.46E-05	1.56E-05	3.56E-05
unidentified_Acidobacteria-6	0	2.59E-06	0	0	0	0	0	1.50E-06
Acidopila	0	0	0	0	0	0	0	2.99E-07
Edaphobacter	0	0	2.26E-06	0	0	0	0	0
unclassified_Acidobacteriaceae	0	0	0	4.67E-06	0	0	0	0
unidentified_Acidobacteriaceae	3.53E-06	0	0	3.11E-06	0	0	2.33E-06	6.28E-06
Candidatus Koribacter	0	0	0	1.63E-05	8.20E-06	7.29E-07	0	2.69E-06
unidentified_Koribacteraceae	2.26E-05	1.68E-05	6.77E-06	1.56E-05	0	0	7.78E-06	2.57E-05
unidentified_Acidobacteriales	0	0	0	0	6.30E-07	0	0	1.79E-06
unidentified_B110	7.07E-05	0.000102374	5.72E-05	6.22E-05	8.83E-06	1.09E-05	3.11E-06	2.75E-05
unidentified_MVS-40	0	0	1.50E-06	0	0	0	0	0
unidentified_Ellin6513	2.12E-06	6.48E-06	0	3.11E-06	8.20E-06	5.83E-06	6.22E-06	3.59E-05
unidentified_EC1113	0	1.04E-05	0	0	0	0	0	0
unidentified_Holophagaceae	2.83E-06	0	0	0	1.26E-06	0	0	0
unidentified_Holophagales	0	3.89E-06	4.51E-06	0	0	1.46E-06	7.78E-07	1.20E-06
unidentified_OS-K	0.000306769	0.00073865	0.001240782	0.001149962	0.000342322	0.000819318	2.57E-05	0.000120517
unidentified_PAUC37f	0	6.48E-06	0	0	0	0	7.78E-07	0
unidentified_RB25	7.85E-05	5.70E-05	4.14E-05	5.29E-05	3.09E-05	4.37E-06	0.000378655	1.97E-05
unidentified_S035	7.07E-07	0	0	0	0	0	0	1.79E-06
unidentified_PAUC26f	0	0	3.16E-05	1.56E-06	1.26E-06	7.29E-07	0.000109631	1.20E-06
unidentified_PK34	0	0	7.52E-07	1.56E-06	0	0	0	0
Candidatus Solibacter	1.41E-06	5.18E-06	0	2.33E-06	0	5.83E-06	2.33E-06	9.87E-06
unidentified_Solibacteraceae	0	0	0	4.67E-06	1.89E-06	0	0	2.99E-07
unidentified_[Bryobacteraceae]	2.12E-06	0	0	1.56E-06	0	0	0	2.99E-07
unidentified_Solibacterales	6.43E-05	0.000173648	4.97E-05	2.57E-05	5.67E-05	3.64E-05	6.61E-05	7.00E-05
unidentified_Sva0725	0.00331721	0.015532385	0.003191871	0.001321795	0.000544058	0.001495766	0.000297015	0.001243743
unidentified_TM1	0	0	0	0	0	0	0	5.68E-06
unidentified_11-24	0	9.07E-06	0	0	0	0	0	0
unidentified_PK29	1.41E-06	1.17E-05	0	2.33E-06	0	0	0	2.09E-06
unidentified_Ellin6075	2.12E-05	5.57E-05	4.06E-05	6.22E-06	8.20E-06	4.37E-06	5.68E-05	1.08E-05
unidentified_RB41	2.62E-05	0.000238441	9.78E-06	8.55E-06	7.57E-06	5.10E-06	1.56E-05	1.94E-05
unidentified_[Chloracidobacteria]	0	1.68E-05	0	0	0	0	0	0
