feature	importance
Ruegeria	0.0445684013600584
Plesiocystis	0.0375881428529482
Amaricoccus	0.0309957840702683
Luteolibacter	0.0291388738380416
Paulinella	0.0270190724270622
Bacillus	0.0263884429978349
Dinoroseobacter	0.0229244256871414
Persicirhabdus	0.0225639618623958
Synechococcus	0.0222266769138847
Shimia	0.0213191009812933
Formosa	0.0199003376985425
Haloferula	0.0190751438633325
Rubritalea	0.0178154267619265
Pseudovibrio	0.0169934607123455
Roseobacter	0.0151426238376908
Cupriavidus	0.014659063749587
Aureitalea	0.0138412767107623
Lutimonas	0.0136580776620053
Desulfococcus	0.0119626663824006
Actibacter	0.0119123814564697
