Taxon	XP_1	XP_4	XP_8	XP_15	XP_18	XP_19	XP_21	XP_29	XP_47	XP_50	XP_51	XP_54	XP_57	XP_68	XP_70	XP_78	XP_85	XP_87	XP_89	XP_94	XP_96	XP_98	XP_99	XP_102	XP_107	XP_117	XP_125	XP_127	XP_131	XP_132	XP_135	XP_137	XP_141	SZ_3	SZ_9	SZ_14	SZ_21	SZ_32	SZ_41	SZ_42	SZ_54	SZ_55	SZ_57	SZ_67	SZ_71	SZ_86	SZ_90	SZ_95	SZ_103	SZ_109	SZ_112	YT_1	YT_5	YT_10	YT_11	YT_26	YT_37	YT_44	YT_45	YT_46	YT_48	YT_50	YT_55	YT_58	YT_61	YT_66	YT_68	YT_69	YT_70	YT_74	YT_75	YT_89	YT_90	YT_93	YT_94	YT_96	YT_97	YT_99	YT_100	YT_101	YT_119	YT_121	QD_16	QD_17	QD_18	QD_23	QD_25	QD_27	QD_38	QD_42	QD_46	QD_47	QD_55	QD_59	QD_65	QD_70	QD_73	QD_77	QD_82	QD_85	QD_89	QD_92	QD_93	QD_95	QD_98	QD_99	QD_106	QD_107	QD_109	QD_111	QD_116	QD_117	WFD_3	WFD_4	WFD_5	WFD_6	WFD_8	WFD_9	WFD_11	WFD_14	WFD_15	WFD_17	WFD_18	WFD_22	WFD_26	WFD_30	WFD_34	WFD_37	WFD_38	WFD_40	WFD_42	WFD_44	WFD_48	WFD_50	WFD_53	WFD_54	WFD_58	WFD_59	WFD_61	WFD_64	WFD_68	WFD_70	WFD_71	WFD_74	WFD_79	WFD_83	WFD_87	WFD_92	WFD_94	BCD_4	BCD_5	BCD_6	BCD_14	BCD_28	BCD_31	BCD_34	BCD_38	BCD_45	BCD_47	BCD_53	BCD_55	BCD_56	BCD_60	BCD_62	BCD_67	BCD_71	BCD_76	BCD_84	BCD_86	BCD_90	BCD_99	BCD_101	BCD_102	BCD_103	BCD_104	BCD_109	BCD_119	BCD_121	BCD_130	BCD_136	BCD_138	DY_4	DY_10	DY_13	DY_14	DY_22	DY_23	DY_33	DY_42	DY_48	DY_53	DY_54	DY_55	DY_56	DY_57	DY_59	DY_60	DY_61	DY_64	DY_82	DY_104	DY_105	DY_106	DY_116	DY_125	DY_132	DY_134	DY_137	DY_138	DY_142	DY_143	JZ_A_49	JZ_A_90	JZ_A_108	JZ_A_116	JZ_A_142	JZ_A_172	JZ_A_193	JZ_A_198	JZ_A_201	JZ_A_207	JZ_A_229	JZ_A_235	JZ_B_6	JZ_B_10	JZ_B_11	JZ_B_20	JZ_B_25	JZ_B_44	JZ_B_46	JZ_B_59	JZ_B_62	JZ_B_68	JZ_B_80	JZ_B_83	JZ_B_92	JZ_C_4	JZ_C_11	JZ_C_17	JZ_C_31	JZ_C_43	JZ_C_46	JZ_C_47	JZ_C_51	JZ_C_59	JZ_C_65	JZ_C_66	JZ_C_68	JZ_C_72	JZ_C_75	JZ_C_77	JZ_C_80	JZ_C_82	JZ_C_86	JZ_C_89	JZ_C_90	JZ_C_94	JZ_C_96	JZ_D_1	JZ_D_4	JZ_D_6	JZ_D_9	JZ_D_10	JZ_D_12	JZ_D_15	JZ_D_17	JZ_D_19	JZ_D_22	JZ_D_23	JZ_D_28	JZ_D_29	JZ_D_30	JZ_D_31	JZ_D_32	JZ_D_33	JZ_D_38	JZ_D_41	JZ_D_42	JZ_D_43	JZ_D_44	JZ_D_45	JZ_D_46	JZ_D_47	JZ_D_49	JZ_D_51	JZ_D_53	JZ_D_55	JZ_D_57	JZ_D_58
Unassigned;Other;Other;Other;Other;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000163281	0	0	0	0	0	0	0	0	0	0	0	0	4.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanosaeta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000629796	0	0
k__Bacteria;p__AC1;c__unidentified_AC1;o__unidentified_AC1;f__unidentified_AC1;g__unidentified_AC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__AD3;c__ABS-6;o__unidentified_ABS-6;f__unidentified_ABS-6;g__unidentified_ABS-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000746425	0	0	0	0	0	0	0	0	0	0	0.000699774	0	0	0	0	0	0.000116629	0	0.00044319	0	2.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000256584	0	0	0	0	2.33E-05	0	0	0.000279909	0	0	0	0	0.000303235	0	0.000139955	0.000186606	0	0	0	4.67E-05	0	0	0	2.33E-05	0	0	0	0	7.00E-05	0	7.00E-05	0	4.67E-05	0	0	0	2.33E-05	0	0	0	2.33E-05	0.000163281	2.33E-05	7.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.67E-05	0	0	0	0	0	0	0
k__Bacteria;p__AD3;c__JG37-AG-4;o__unidentified_JG37-AG-4;f__unidentified_JG37-AG-4;g__unidentified_JG37-AG-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33E-05	0	0	0	0	0	0	0	0	0	7.00E-05	0	0	0	7.00E-05	0	0	2.33E-05	0	0	0	0.000116629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.67E-05	0	0	0	0	0	0	0	0	0	0	0	9.33E-05	0	0	0	0	0	0	0	0	0	0.000116629	2.33E-05	0	0	0	0	0.000209932	0	0	7.00E-05	0	0	0	0	4.67E-05	0	0	0	0	0	0	0	0	0	0	2.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__AT-s2-57;o__unidentified_AT-s2-57;f__unidentified_AT-s2-57;g__unidentified_AT-s2-57	0.00044319	0.000909706	0.001399547	0	0.000396538	0.001026335	0	0	0.000349887	0	7.00E-05	0	4.67E-05	0.000209932	2.33E-05	0	0	0	0	9.33E-05	0.000653122	7.00E-05	0	0.000116629	0	2.33E-05	0.000116629	0	0	0.000839728	0	0.000513167	0.000513167	0.001072986	0.00088638	0.000606471	0.000419864	0.000793077	0.000559819	0.000373213	0.000163281	0.000793077	0.001912715	0.000863054	0.000256584	0.000629796	0.00088638	0.000489842	0.001819412	0.000466516	0.001399547	0	0.000256584	0.000629796	0.000676448	0.000303235	0	0.000349887	0.000489842	0.000349887	0.000303235	0.000233258	0.000139955	0.000186606	0	0	0.000116629	4.67E-05	0	0	2.33E-05	0	9.33E-05	0	4.67E-05	2.33E-05	9.33E-05	4.67E-05	2.33E-05	9.33E-05	0.000303235	9.33E-05	9.33E-05	0.000256584	0	4.67E-05	2.33E-05	0.000186606	0	0	0	2.33E-05	0.000116629	2.33E-05	0.000256584	0	0	0.000116629	0.000163281	0.000303235	0	2.33E-05	2.33E-05	4.67E-05	4.67E-05	2.33E-05	7.00E-05	2.33E-05	0.000116629	2.33E-05	0.000209932	4.67E-05	0	2.33E-05	2.33E-05	0.000116629	2.33E-05	0	0	4.67E-05	0.000116629	2.33E-05	0	7.00E-05	0	2.33E-05	2.33E-05	0	4.67E-05	0.000279909	0	2.33E-05	0	4.67E-05	2.33E-05	4.67E-05	4.67E-05	2.33E-05	7.00E-05	2.33E-05	0.000116629	0	0	0	0.000233258	0.000256584	7.00E-05	9.33E-05	4.67E-05	0	9.33E-05	2.33E-05	0	2.33E-05	2.33E-05	0	0.000233258	0	0	0.000163281	2.33E-05	0	0	2.33E-05	2.33E-05	9.33E-05	0	0	0	0	4.67E-05	0.000279909	0	7.00E-05	9.33E-05	0	0	0	0	0	2.33E-05	0	0	0	0	0.000956357	0.000116629	0	0.002355905	0	0	0.001469525	0	0	0.002472534	0.002006018	0.001376222	0	0	0	0.001516176	0	0.000489842	0.001142964	9.33E-05	0.000676448	0.001259593	0	7.00E-05	4.67E-05	0.000139955	0	0	0	0	0	0	0	0	0	0	0	0	0.000466516	0.000139955	0	4.67E-05	0.000256584	0.000349887	0.000699774	0	0.000256584	0.000139955	0	0.000699774	0.000419864	9.33E-05	9.33E-05	0.001212941	0.000139955	0.000139955	0.000209932	7.00E-05	9.33E-05	0	0.000489842	0.000279909	0.000163281	0.000303235	0	0.000116629	7.00E-05	0.000186606	0	0	0	0.000116629	0	0.000139955	0.000139955	7.00E-05	7.00E-05	0.000326561	0	0.000303235	4.67E-05	2.33E-05	0	9.33E-05	4.67E-05	0.000209932	0	0.000116629	7.00E-05	0	7.00E-05	2.33E-05	9.33E-05	0.000139955	9.33E-05	2.33E-05	2.33E-05	0.000116629	0.000163281	9.33E-05	0	0	7.00E-05	0.000163281
k__Bacteria;p__Acidobacteria;c__AT-s54;o__unidentified_AT-s54;f__unidentified_AT-s54;g__unidentified_AT-s54	0	0	0	0	0	7.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000186606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.33E-05	0	0	0.000186606	0	0	0	9.33E-05	0	7.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.67E-05	0	0	0	0	0	0	2.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000116629	2.33E-05	0	0	0	0	0	0	0	0	2.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33E-05	7.00E-05	4.67E-05	0	0	0	0	0	0	0	0	0	0	0	4.67E-05	0	0	0	0	0	0	7.00E-05	0	0	0	0	0	2.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	4.67E-05	0	9.33E-05	0	0	0	2.33E-05	0	0	0	0	0	0	0	0	0	0.000279909	2.33E-05	0	0	0	0	0	2.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__unidentified_Acidobacteria-5;f__unidentified_Acidobacteria-5;g__unidentified_Acidobacteria-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000279909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000116629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33E-05	4.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__BPC015;f__unidentified_BPC015;g__unidentified_BPC015	0.002799095	0.006764479	0.004501878	0	0.000396538	0.001889389	0	4.67E-05	0.000209932	0	0	0	7.00E-05	0.001026335	7.00E-05	0	0	0	0	0.001376222	0.001072986	2.33E-05	4.67E-05	0.001842738	0.000373213	0.000186606	7.00E-05	0	0	0.002379231	0	0.000746425	0.000769751	0.004525204	0.004548529	0.003848756	0.000559819	0.002169299	0.002869072	0.001003009	0.004291946	0.001352896	0.00692776	0.005178326	0.000536493	0.003032353	0.003242285	0.003498869	0.003638823	0.001562828	0.004198642	0	0.000186606	9.33E-05	0.00044319	7.00E-05	0	0.00044319	0.000839728	0.000116629	0.000139955	0.000116629	0.000163281	0.000326561	2.33E-05	0	0	4.67E-05	0.000209932	0	4.67E-05	0	0.000256584	4.67E-05	0	0	0.000373213	0	9.33E-05	0.000233258	0.000139955	7.00E-05	7.00E-05	7.00E-05	0	0	4.67E-05	2.33E-05	0	7.00E-05	0	2.33E-05	0	0	0	9.33E-05	4.67E-05	9.33E-05	0	0	2.33E-05	0	2.33E-05	0.000139955	2.33E-05	4.67E-05	0	0	2.33E-05	2.33E-05	0.000233258	0	0	9.33E-05	0.000116629	9.33E-05	0	0	0	0.000139955	0.000303235	0.000163281	0.000256584	0.000116629	0.000163281	0.000233258	4.67E-05	2.33E-05	0.000279909	0.000256584	7.00E-05	0.000209932	7.00E-05	0.000279909	9.33E-05	0.000279909	0.000139955	7.00E-05	0.000396538	0.000303235	0.000256584	0	0.000186606	0.000256584	0.000559819	0	0.000396538	0.000139955	0.000163281	2.33E-05	0.000513167	4.67E-05	0.000139955	0	0.001352896	0.000163281	0.000489842	0.000489842	0	0.000326561	0.000186606	0	0.000116629	0.000116629	0.000116629	9.33E-05	4.67E-05	0.000139955	0.000116629	0.000349887	0.000326561	0.000279909	9.33E-05	0.000256584	0.000139955	7.00E-05	0	0.000139955	4.67E-05	0	0.000163281	2.33E-05	0	2.33E-05	0	9.33E-05	9.33E-05	0	9.33E-05	0	0	2.33E-05	0	0	0.000233258	7.00E-05	9.33E-05	0	0	0	0.000139955	0	7.00E-05	0	0	2.33E-05	7.00E-05	0	0	7.00E-05	0	0.000559819	0	4.67E-05	0	7.00E-05	0	0	2.33E-05	9.33E-05	0	0	0	0.000349887	0.000816403	0.000209932	0.000209932	0.000793077	0.000466516	0.000933032	0.000559819	0.000279909	0.000279909	0.000676448	0.000793077	0.000373213	0.000839728	0.000513167	0.002589163	4.67E-05	0.00044319	0.000629796	0.00044319	0.000163281	0.0007231	0.000349887	0.000139955	9.33E-05	0.000489842	0.000163281	0.000419864	9.33E-05	0.000653122	0.000373213	0.001072986	0.000653122	0.000279909	0	0.000116629	0.001026335	4.67E-05	2.33E-05	0.000396538	0.000583145	0.000536493	0.000139955	0.000139955	4.67E-05	0.000186606	0.000256584	0.000233258	2.33E-05	0.000186606	0.000419864	0	9.33E-05	0.000466516	0.000816403	0.000139955	0.000256584	2.33E-05	0.000769751	0.0007231	4.67E-05	0.000256584	0.000256584	7.00E-05	0.000186606	0.000186606
