Taxon	XP_1	XP_4	XP_8	XP_15	XP_18	XP_19	XP_21	XP_29	XP_47	XP_50	XP_51	XP_54	XP_57	XP_68	XP_70	XP_78	XP_85	XP_87	XP_89	XP_94	XP_96	XP_98	XP_99	XP_102	XP_107	XP_117	XP_125	XP_127	XP_131	XP_132	XP_135	XP_137	XP_141	SZ_3	SZ_9	SZ_14	SZ_21	SZ_32	SZ_41	SZ_42	SZ_54	SZ_55	SZ_57	SZ_67	SZ_71	SZ_86	SZ_90	SZ_95	SZ_103	SZ_109	SZ_112	YT_1	YT_5	YT_10	YT_11	YT_26	YT_37	YT_44	YT_45	YT_46	YT_48	YT_50	YT_55	YT_58	YT_61	YT_66	YT_68	YT_69	YT_70	YT_74	YT_75	YT_89	YT_90	YT_93	YT_94	YT_96	YT_97	YT_99	YT_100	YT_101	YT_119	YT_121	QD_16	QD_17	QD_18	QD_23	QD_25	QD_27	QD_38	QD_42	QD_46	QD_47	QD_55	QD_59	QD_65	QD_70	QD_73	QD_77	QD_82	QD_85	QD_89	QD_92	QD_93	QD_95	QD_98	QD_99	QD_106	QD_107	QD_109	QD_111	QD_116	QD_117	WFD_3	WFD_4	WFD_5	WFD_6	WFD_8	WFD_9	WFD_11	WFD_14	WFD_15	WFD_17	WFD_18	WFD_22	WFD_26	WFD_30	WFD_34	WFD_37	WFD_38	WFD_40	WFD_42	WFD_44	WFD_48	WFD_50	WFD_53	WFD_54	WFD_58	WFD_59	WFD_61	WFD_64	WFD_68	WFD_70	WFD_71	WFD_74	WFD_79	WFD_83	WFD_87	WFD_92	WFD_94	BCD_4	BCD_5	BCD_6	BCD_14	BCD_28	BCD_31	BCD_34	BCD_38	BCD_45	BCD_47	BCD_53	BCD_55	BCD_56	BCD_60	BCD_62	BCD_67	BCD_71	BCD_76	BCD_84	BCD_86	BCD_90	BCD_99	BCD_101	BCD_102	BCD_103	BCD_104	BCD_109	BCD_119	BCD_121	BCD_130	BCD_136	BCD_138	DY_4	DY_10	DY_13	DY_14	DY_22	DY_23	DY_33	DY_42	DY_48	DY_53	DY_54	DY_55	DY_56	DY_57	DY_59	DY_60	DY_61	DY_64	DY_82	DY_104	DY_105	DY_106	DY_116	DY_125	DY_132	DY_134	DY_137	DY_138	DY_142	DY_143	JZ_A_49	JZ_A_90	JZ_A_108	JZ_A_116	JZ_A_142	JZ_A_172	JZ_A_193	JZ_A_198	JZ_A_201	JZ_A_207	JZ_A_229	JZ_A_235	JZ_B_6	JZ_B_10	JZ_B_11	JZ_B_20	JZ_B_25	JZ_B_44	JZ_B_46	JZ_B_59	JZ_B_62	JZ_B_68	JZ_B_80	JZ_B_83	JZ_B_92	JZ_C_4	JZ_C_11	JZ_C_17	JZ_C_31	JZ_C_43	JZ_C_46	JZ_C_47	JZ_C_51	JZ_C_59	JZ_C_65	JZ_C_66	JZ_C_68	JZ_C_72	JZ_C_75	JZ_C_77	JZ_C_80	JZ_C_82	JZ_C_86	JZ_C_89	JZ_C_90	JZ_C_94	JZ_C_96	JZ_D_1	JZ_D_4	JZ_D_6	JZ_D_9	JZ_D_10	JZ_D_12	JZ_D_15	JZ_D_17	JZ_D_19	JZ_D_22	JZ_D_23	JZ_D_28	JZ_D_29	JZ_D_30	JZ_D_31	JZ_D_32	JZ_D_33	JZ_D_38	JZ_D_41	JZ_D_42	JZ_D_43	JZ_D_44	JZ_D_45	JZ_D_46	JZ_D_47	JZ_D_49	JZ_D_51	JZ_D_53	JZ_D_55	JZ_D_57	JZ_D_58
k__Archaea;p__Crenarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0
k__Bacteria;p__AC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__AD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	8	0	19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	11	0	0	0	0	1	0	0	12	0	0	0	0	15	0	6	8	0	0	0	2	0	0	0	1	4	0	0	0	3	0	3	0	2	0	5	1	1	0	0	0	10	7	1	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria	745	1182	1801	19	204	707	12	39	110	0	11	6	34	267	66	14	16	2	61	239	370	60	34	996	99	53	80	33	0	972	17	429	196	1183	1261	1263	319	1102	745	181	962	964	1895	2221	955	1286	1078	1795	1610	548	1397	52	378	381	772	338	105	663	640	408	436	425	455	384	133	92	228	197	137	97	144	15	250	172	51	61	255	162	252	149	513	82	90	245	24	155	155	170	18	40	66	101	96	96	175	97	37	229	222	113	74	163	155	375	148	111	143	106	214	180	393	108	52	64	62	52	11	17	54	70	66	61	85	103	81	61	79	35	123	144	73	46	62	74	49	170	81	35	128	115	108	14	82	104	225	98	79	80	73	198	290	101	180	17	409	84	360	347	85	227	185	21	129	108	167	151	106	113	240	230	217	248	132	224	195	120	9	268	135	3	213	18	2	101	35	70	42	20	155	18	64	92	28	24	178	143	109	105	13	1	101	84	44	98	89	73	83	89	51	20	137	204	16	16	47	128	0	2	8	12	2	0	9	146	218	144	157	237	211	483	378	178	170	166	257	184	218	145	902	142	311	245	257	125	140	247	198	59	219	102	153	95	137	112	160	216	103	23	96	161	91	54	171	169	272	54	104	60	42	76	116	48	120	105	12	46	125	181	129	103	75	162	199	75	88	72	63	34	89
k__Bacteria;p__Actinobacteria	1129	2025	2805	1927	257	1496	1065	132	1115	27	208	189	491	2590	935	703	740	93	746	521	3082	554	202	1938	901	609	414	308	292	1027	692	851	809	6051	3621	7048	2016	6446	3319	2856	3374	5004	2249	6637	2134	4492	4824	3732	6673	1069	5280	275	3067	2198	916	3939	1116	2990	1952	4061	3836	2647	4155	2396	1637	556	2611	2085	2293	205	1435	800	3617	2584	203	570	2532	2102	3119	1731	3217	418	5011	8176	2017	9378	6566	9753	1767	8763	4954	15556	12568	3781	4315	6068	3801	5509	4733	7421	9337	16478	5075	6056	6188	5747	7248	14327	8223	7700	5945	4835	721	2338	1640	3412	314	800	1783	2818	1244	2929	3198	3057	4962	2970	2368	854	3742	4360	2452	3590	1862	2454	1473	3368	1757	845	4320	3254	2878	657	2434	2571	3426	1178	2862	3628	2930	1778	1656	1317	1147	263	1848	1052	1393	2608	506	1552	1582	150	1385	1265	888	1586	1680	978	944	844	1741	1261	1358	1529	2353	1788	230	1499	1232	225	1920	5210	805	2157	2273	5516	2772	1332	4558	391	2122	5130	1434	2333	10105	2907	10733	2496	1609	885	6395	1890	7044	5423	1734	5185	4620	1251	2823	3608	1727	3719	625	1230	446	741	19	226	862	945	1018	54	734	2490	3286	4880	4039	4888	4000	6424	2283	3533	5759	1354	6103	3835	5863	6134	9306	3820	1692	4986	7798	1467	1936	5879	3457	806	6163	5409	6479	5482	3245	7392	3828	8131	2495	479	4079	5019	3153	2850	5679	4713	5270	2652	2748	2831	2315	4120	3090	2866	4730	4736	132	1125	5165	4024	5137	2519	5408	4693	4265	7000	3645	1637	2031	3830	2691
k__Bacteria;p__Armatimonadetes	3	0	0	3	0	5	6	0	0	0	0	0	0	0	0	0	17	0	1	0	3	10	0	0	0	0	0	0	5	0	12	10	0	4	11	2	6	1	0	0	0	0	2	0	0	0	2	0	0	2	0	0	4	0	1	0	19	0	0	0	0	1	0	0	0	0	0	0	0	14	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	10	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	9	4	0	1	1	1	0	0	0	0	0	0	0	0	0	10	0	6	5	7	1	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	5	1	0	0	0	0	4	10	3	4	0	0	0	0	0	0	0	0	0	0	0	0	16	15	5	8
k__Bacteria;p__BHI80-139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__BRC1	10	2	0	0	0	5	0	3	0	0	0	0	0	1	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	4	0	3	4	10	3	0	3	0	0	13	6	1	11	0	9	2	2	0	4	0	2	0	5	0	0	4	0	0	9	17	4	22	1	0	1	3	1	0	0	0	0	0	0	0	4	0	0	0	8	0	2	0	0	0	7	2	0	0	1	0	3	2	0	2	1	0	1	0	0	0	0	0	0	5	0	0	0	0	3	0	0	5	5	0	0	0	6	7	4	3	2	9	0	15	6	5	2	2	4	0	5	6	1	3	5	4	4	15	5	8	7	5	0	8	3	7	0	0	0	0	0	0	12	0	7	4	0	0	0	0	0	0	0	4	0	0	0	1	0	2	0	0	0	7	0	0	0	0	1	0	0	2	0	2	0	5	1	0	14	2	0	0	0	2	2	7	2	0	0	26	0	3	3	0	0	0	3	0	13	0	0	0	0	0	0	0	0	0	0	0	0	6	16	0	28	4	5	0	15	6	9	0	8	2	2	2	2	5	0	0	0	2	0	2	3	1	0	0	1	0	0	0	1	0	2	0	0	1	2	0	0	0	3	0	1	0	0	0	0	0	0	0	0	7	4	0	0	5	6	0	0	1	0	0	0	0	0
k__Bacteria;p__Bacteroidetes	1554	965	1216	1195	12756	3684	1658	29371	337	35238	13300	24140	4068	713	13043	1786	2025	12903	1953	10934	5297	21498	20951	1182	6300	12211	19734	1108	776	2560	2005	16387	4668	782	1701	853	2045	873	2160	1957	724	1617	667	515	3919	844	651	2525	1017	1474	899	2972	4036	2776	6534	1264	2168	3762	1016	479	3903	5526	2316	8225	4771	9580	3539	5284	5269	1624	4787	1925	1054	2842	4286	8828	2535	4401	1743	4444	1896	4801	7938	7377	10229	3101	2968	5730	17598	348	4025	3024	2980	6453	9230	3958	15501	3359	6414	313	4011	231	149	3482	3513	4347	5161	112	2505	3719	4971	3829	2065	6703	9962	1504	10623	2436	11103	5395	8941	6450	6236	7271	2453	9181	8392	12650	6348	2624	6744	3294	9883	7900	10693	7071	10145	14245	4708	6910	5110	16259	6627	7545	355	10901	5553	4037	4877	1423	2389	3881	2522	17946	3913	1366	2447	2953	3321	1138	4571	13452	782	3472	8539	2849	10607	5248	2557	2223	127	6365	5530	1873	1987	4830	932	2793	4261	7265	3451	2498	2425	8396	1924	4509	3859	4644	4310	1562	4544	3363	2438	3744	2742	5781	1573	5940	5633	1705	2287	6033	1226	4022	4307	4407	2234	2473	5345	2955	6125	1912	29829	22312	12491	7832	37036	5715	5032	27282	26271	37026	13983	2862	3431	4952	3812	1357	353	437	2649	4480	3596	2568	864	3796	2707	1557	1000	2940	4213	1168	669	6503	2021	749	2482	9289	685	5073	2012	1139	3555	733	1071	718	5605	8055	2084	1082	4550	5118	419	303	956	4154	5960	5630	2061	1634	2360	4422	680	487	2924	12704	6136	616	225	3610	1463	1357	1262	736	947	2529	2350	947	1807
