	Saponin	Thaumarchaeota	Methanomicrobia	unidentified_AC1	ABS-6	JG37-AG-4	AT-s2-57	AT-s54	Acidobacteria-5	Acidobacteria-6	Acidobacteriia	BPC102	DA052	EC1113	Holophagae	OS-K	PAUC37f	RB25	S035	Solibacteres	Sva0725	TM1	[Chloracidobacteria]	iii1-8	unclassified_Acidobacteria	unidentified_Acidobacteria	Acidimicrobiia	Actinobacteria	Coriobacteriia	KIST-JJY010	MB-A2-108	Nitriliruptoria	OPB41	Rubrobacteria	Thermoleophilia	unclassified_Actinobacteria	unidentified_Actinobacteria	0319-6E2	Armatimonadia	Chthonomonadetes	SJA-176	[Fimbriimonadia]	unidentified_BHI80-139	NPL-UPA2	PRR-11	BME43	Bacteroidia	Cytophagia	Flavobacteriia	Sphingobacteriia	VC2_1_Bac22	[Rhodothermi]	[Saprospirae]	unclassified_Bacteroidetes	unidentified_CD12	OP5	Caldithrixae	Chlamydiia	BSV26	Chlorobia	Ignavibacteria	OPB56	SJA-28	unidentified_Chlorobi	Anaerolineae	C0119	Chloroflexi	Dehalococcoidetes	Ellin6529	Gitt-GS-136	Ktedonobacteria	P2-11E	S085	SAR202	SHA-26	TK10	TK17	Thermomicrobia	unclassified_Chloroflexi	unidentified_Chloroflexi	4C0d-2	Chloroplast	Gloeobacterophycideae	ML635J-21	Nostocophycideae	Oscillatoriophycideae	Synechococcophycideae	unclassified_Cyanobacteria	unidentified_Cyanobacteria	Deferribacteres	Elusimicrobia	Endomicrobia	unidentified_Elusimicrobia	Fibrobacteria	TG3	AHT28	Bacilli	Clostridia	Erysipelotrichi	unclassified_Firmicutes	Fusobacteriia	unidentified_GAL15	3BR-5F	BB34	BD1-5	GKS2-174	GN07	IIB17	SBYW_2184	unidentified_GN02	GN15	unidentified_GN04	Gemm-1	Gemm-2	Gemm-3	Gemm-4	Gemm-5	Gemm-6	Gemmatimonadetes	JL-ETNP-Z39	unidentified_Gemmatimonadetes	unidentified_H-178	WM88	unidentified_KSB3	unidentified_Kazan-3B-28	unidentified_LD1	[Lentisphaeria]	unidentified_MVP-21	12-24	wb1-A12	TSBW08	unidentified_NKB19	Nitrospira	ABY1	Mb-NB09	SM2F11	ZB2	unclassified_OD1	unidentified_OD1	MSBL6	[Acetothermia]	OP11-1	OP11-3	OP11-4	WCHB1-64	unidentified_OP11	BD4-9	PBS-25	koll11	OP8_1	OP8_2	SAW1_B6	unidentified_OP8	JS1	OPB46	unidentified_PAUC34f	028H05-P-BN-P5	BD7-11	C6	ODP123	OM190	Phycisphaerae	Pla3	Planctomycetia	[Brocadiae]	unclassified_Planctomycetes	unidentified_Planctomycetes	vadinHA49	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Epsilonproteobacteria	Gammaproteobacteria	TA18	Zetaproteobacteria	unclassified_Proteobacteria	unidentified_Proteobacteria	AB16	EC214	VHS-B5-50	unidentified_SBR1093	unidentified_SC4	unidentified_SR1	Spirochaetes	[Brachyspirae]	[Leptospirae]	Synergistia	unidentified_TA06	F38	SBRH58	SJA-4	unclassified_TM6	unidentified_TM6	MJK10	SC3	TM7-1	TM7-3	unclassified_TM7	unidentified_TM7	CK-1C4-19	Mollicutes	RF3	unidentified_Tenericutes	Thermotogae	Opitutae	Verruco-5	Verrucomicrobiae	[Methylacidiphilae]	[Pedosphaerae]	[Spartobacteria]	unclassified_Verrucomicrobia	unidentified_Verrucomicrobia	unidentified_WPS-2	Kazan-3B-09	SHA-109	PRR-12	unidentified_WS4	unidentified_WS5	B142	SC72	unclassified_WS6	unidentified_WS6	[Cloacamonae]	BS119	unidentified_ZB3	KSB1	Deinococci	unclassified_Bacteria	unidentified_Bacteria
1	0.94	0	0	0	0	0	7.333333333	0	0	128.6666667	1.666666667	2.666666667	0	0	0	4.666666667	0	15	0	4.666666667	226.6666667	0	4	0.333333333	0	9	269.3333333	491.6666667	0	0	0	0	2.666666667	5	197.3333333	0	0	0	0	0	0	0	0	0	0	0	104.3333333	47.66666667	4317	8.333333333	0	9	746	9	2	0	1	18.66666667	0	0	4.666666667	0.333333333	0	0	149.3333333	0	0	0	35	0	0	0	7.666666667	0	0	0	0	0	0	0	52.66666667	242.3333333	0	0	0	0	19	0	0	0	4.666666667	0	0	0	0	0	893	242	3.666666667	0	302.6666667	0	0	0	0	0	0	0	0	0	0	0	15	17.33333333	0	13.66666667	0	1	0	0	0	0	0	9.666666667	0	0	0.666666667	0	0	0	0	0	30	1.666666667	0	39.66666667	0.666666667	0	6.666666667	0	0	0	0	0	0.666666667	0	0.666666667	0	0	1	0	0	0	0	0	0	0	0	8	0	24.33333333	30.66666667	1	0.333333333	0	0	6.666666667	0	10910	4004.333333	897	2156.666667	15270	7.666666667	0	35	0	0	0	1.666666667	0	0	0	0	0	0	0	0	0	1.333333333	56	0	0	0	2.333333333	15.33333333	18.66666667	0	36.66666667	0	21.66666667	0	0	0	3.666666667	3.333333333	403	0	1.333333333	0	0	0	10.33333333	0	0	18	0	0	0	0	0	0	0	0	0	0	186.6666667	7.666666667	2.666666667
2	1.07	0	0	0	10.33333333	0	13.33333333	0	0	68.5	5.333333333	6.166666667	0.166666667	0	0	28.5	0	6.166666667	0	5.5	137.3333333	0	1.5	0.333333333	0.333333333	6.333333333	215	668.1666667	1.333333333	0.166666667	0.5	0	1	1.166666667	54.66666667	0	0	0	0	0	0	3.166666667	4.5	0.333333333	0.666666667	0	109	54.83333333	3745.166667	23.5	1.166666667	7	648	1.166666667	0	0	0.5	67.83333333	0	0	1.5	0	0	0	153	0	0	0.333333333	15	0	0	0	3.666666667	0	0	0	0	2	0	0.666666667	55.33333333	55.33333333	0	0	0	12.5	5.5	0	0	0	4	0	0	0	0	0	503.3333333	139	4.666666667	0	82	1.166666667	2.666666667	0	2.666666667	0	0	0	0	0	0.666666667	0	2.666666667	10	0	50.16666667	0	0.5	0	0	1	0	0	4.5	0	0.333333333	0.166666667	0	0	0	0	0.166666667	10.5	0.333333333	0	60.66666667	4.666666667	0	10.33333333	0.166666667	0	0	0	0	1	0	0	0	0	2.166666667	0	0	0	0	0	0	0	0	18.66666667	0	18.5	16.33333333	0	0.5	2.166666667	0	1.5	0	13891.5	3826.166667	795.1666667	746.3333333	15394.66667	6.166666667	0	6.666666667	0.166666667	0.166666667	1.333333333	9.166666667	0.333333333	0.5	0	0	0	0	0	0	0	8.666666667	45.33333333	0	0	0	1.166666667	6.666666667	6.833333333	0	4.5	0	54	0	0.5	0	3.833333333	4.5	419.1666667	16.16666667	0.333333333	2.333333333	0	0	11.5	0	1.166666667	3	0	0.833333333	1.333333333	0.166666667	0	0	0	0	0	0	376.1666667	56.66666667	6
3	1.06	0	0	0	0	0	14.16666667	0.5	0	85.16666667	0	5.333333333	0	0	0	16.33333333	0	1.666666667	0	2	138.6666667	0	2	0.5	0	6	690.5	621.1666667	4.333333333	0	1.833333333	0	0.333333333	0.833333333	111.5	0	0	0	0	0	0	3.333333333	0	0.5	1.166666667	0.833333333	56.66666667	56.16666667	6740.333333	21.5	0	4.166666667	383.8333333	0.5	0.166666667	0	0	153.6666667	0.5	0	5.5	0.166666667	0	0	170.3333333	0	0.666666667	0.166666667	29.33333333	0	0.333333333	0	3.833333333	0.833333333	0	0	0	1	0	0.333333333	22.5	144.1666667	0	2.666666667	0	4.333333333	7	0	0.166666667	0	2.5	0	0	0	0	0	644.5	111.3333333	11.33333333	0.166666667	140.3333333	0	1.166666667	0.166666667	2.5	0.166666667	0	0	0	0	0	0	1.666666667	3.5	0.333333333	41	0	0.5	0.166666667	0	0	0	0	4.166666667	0	0	1.333333333	0	0	0	0	0.833333333	21.33333333	3.666666667	0	30.5	5.333333333	0	10	0	0	0.333333333	0	0	2.166666667	0	0.833333333	0	0	5.166666667	0	0	0	0.5	0	0	4.166666667	0	24	0	9.166666667	9	1.333333333	3	0	0	2.166666667	0.166666667	13342.66667	1951.666667	775	4067.833333	10470.16667	2.166666667	4	18	0	0.666666667	0.833333333	12.83333333	0.666666667	0.833333333	0	0.5	0	0	0	0	2.666666667	10.83333333	104.6666667	0.166666667	0	0	0.833333333	45.66666667	35.66666667	0	70.66666667	0	204.6666667	0	0	0	4.166666667	2	868.3333333	36.16666667	0	3.5	0	0	8.833333333	0	2.166666667	2	0	0	1.833333333	2	0	0	0	0	0	0	170.8333333	12.5	13
4	1.42	0	0	0	0	0	12.33333333	0	0	151.6666667	0	1.333333333	0.333333333	0	0.666666667	10	0	2	0.166666667	1.5	162.1666667	0	4.333333333	0	0	9.5	332.3333333	492.5	0	3.5	2.333333333	0.833333333	0.5	0	91.16666667	0	0	0	0	0	0	0.5	0	2.333333333	0.5	0	48.83333333	20.5	8327	2.833333333	0.333333333	0.666666667	306.8333333	0.5	0	0	0	92.33333333	0	0	0	0	0	0	241	0	0	0	40.16666667	0	0.166666667	0	10.83333333	0	0	0	0	0.166666667	0	0	23	91.83333333	0	0.666666667	0	3.5	10.33333333	0	0	0.333333333	0.833333333	0	0	0	0	0	273.1666667	60	1	0	433.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.83333333	0	0.166666667	0	0	0	0	0	7.333333333	0	0.166666667	1.5	0	0	0	0	0	10.33333333	3.666666667	0	54	3.166666667	0	15.66666667	0	0	0	0.166666667	0	2.166666667	0	0	0	0	4.666666667	0	0	0	0	0	0	0	0	47.66666667	0	6.666666667	5.166666667	0.5	0.166666667	0	0	0.666666667	0.333333333	13889.5	2482.666667	864.8333333	3272.5	9444.833333	5.666666667	1.5	11.16666667	0	2	2.5	5	0	0.166666667	0	1	0	0	0	0	0.333333333	12.33333333	82.33333333	0.333333333	0	0	1	25	29.16666667	0	24.5	0	56.16666667	0	0.666666667	0	5	2	831.8333333	14.66666667	1.5	1	0.333333333	0	6.166666667	0	0	1.833333333	0	0	1.333333333	0	0	0.666666667	0	0.333333333	0	0	308	19	10.33333333
5	0.86	0	0	0	0	0	1	0	0	7.666666667	0	0	0	0	0	2.333333333	0	0.666666667	0	0	16.66666667	0	0.666666667	0	0	0.666666667	146	191	0.333333333	0	0	1.333333333	0	0	59	0	0	0	0	0	0	0	0	0	0	0	30.33333333	22.66666667	9611	7	0	0.666666667	52.33333333	3.333333333	0	0	0	63.66666667	0	0	1.333333333	0	0	0	24.66666667	0	0	1	0.666666667	0	0.333333333	0	0	0.333333333	0	0	0	0.666666667	0	0	5	26	0	0	0	0	1.333333333	0	0	0	0	0	0	0	0	0	155.3333333	31	0	0	23.33333333	0	0	0	6.333333333	0	0	0	0	0	0.333333333	0	0	0.666666667	0	3.666666667	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	3.666666667	3.666666667	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.333333333	0	8.333333333	12.66666667	0.333333333	0.333333333	0	0	0	0.333333333	9182.666667	635.6666667	193.6666667	3057	18864	1.666666667	1.666666667	32.33333333	0	0.333333333	2.666666667	4	0	0	0	2	0	1	0.666666667	0	0	0.333333333	25.66666667	0	0	0	0	5	10.33333333	0	1.333333333	0	67.66666667	0	0	0	1	0	171.3333333	18	0	0	0	0	3	0	0	0.333333333	0	0	0	0.666666667	0	0	0	0	0	0	28.33333333	13.33333333	8
6	0.9	0	0	0	0	0	20	0	0	156.6666667	0	2.333333333	0	0	0	20.33333333	0	0	0	4	393.3333333	0	1.333333333	0	0.666666667	9	519.6666667	565.3333333	0.333333333	2	0.333333333	0	3.333333333	0	153.6666667	0	0	0	0	0	0	5.666666667	0	0	0	0.333333333	90	28.33333333	8328.666667	14.33333333	2.666666667	0	658	4.666666667	0.666666667	0	0	49	0	0	0	0	0	0	419.3333333	0	0	0.333333333	31.33333333	0	0.333333333	0	10	0	0	0	0	0.666666667	0	0.666666667	23.66666667	84.33333333	0	0	0	0	20.33333333	0	0	0	1.666666667	0	0	0	0	0	618.3333333	187.3333333	22.66666667	0	14.66666667	0	0	0	2	0	0	0	0	0	0.333333333	0	2	0.666666667	0	47.33333333	0	0	0	0	1.333333333	0	0	16.33333333	0	1	0.666666667	0	0	0	0	1	13	0.333333333	0	35.66666667	2	0	17	0	0	0	0	0	3.666666667	0	0	0	0	3.666666667	0	0	0	0	0	0	0	0.666666667	78.66666667	0	6	15.66666667	0.333333333	2.666666667	0	0	0	0	10557.33333	3005.333333	927.6666667	1030.666667	11026.66667	6.666666667	0	11.66666667	0.333333333	0.333333333	0	3	0	0.666666667	0	0	0	0	0	0	0	8	84.66666667	0	0	0	0.666666667	14	7	0	10	0	597.3333333	0	0.333333333	0	4.333333333	6.666666667	2525	10	0	3.333333333	0	0	3.666666667	0	0	1.333333333	0	0	0	0.333333333	0	0	0	0	0	0	217.3333333	71	13.33333333
7	1.33	0	0	0	0	0	2.5	0	0	11.5	0	2	0	0	0	4.5	0	0.5	0	2	35.5	0	0	0	0	1	135	120	0	0	0	0	0	2	16	0	0	0	0	0	0	0	0	0	1.5	0	94.5	18.5	24406.5	1	0	3.5	28	0.5	0	0	0	31.5	0	0	0.5	0	0	0	25	0	0	0	2.5	0	0	0	0.5	0	0	0	0	0	0	0	7	36.5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	162	121.5	10.5	0	20	0	0.5	0	5	0	0	0	0	0	0.5	0	0	0	0	6	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	5	1.5	0	1.5	1.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	2	5	0	0	0	0	0	0	5553.5	291.5	126	3025	8151.5	0.5	0	3.5	0	0	0	6	0	0	0	0	0	1	0	0	0	1.5	14.5	0	0	0	0	9	13	0	12.5	0	4	0	0	0	2.5	1	272	3	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	33	5.5	3
8	1.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	6	1049	0	0	0	0	0	0	10	0	0	0	0	1	0	5	0	0	0	0	313	23	34	2	0	0	1286	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1032	201	3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	14789	5260	107	569	14081	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3552	0	0	0	0	0	29	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	141	52	3
9	1.08	0	0	0	3.333333333	0	27.16666667	0	0	260.1666667	0	9.833333333	0.833333333	0	0	48.66666667	0	0	0	3.333333333	582.3333333	0	4.166666667	0	0	8.166666667	3273.666667	467.8333333	7.333333333	0.666666667	0	0	18.33333333	5.166666667	215.5	0	0	0	0	0	0	0.833333333	0	3.166666667	0.833333333	0	81.16666667	25.66666667	779.3333333	11.83333333	3.166666667	10.33333333	600.8333333	3.833333333	0	0	0	66.5	0	0	0.166666667	3	0	0	329	0	0.333333333	0.833333333	138	1.166666667	0.666666667	0	5.5	0	0	1.166666667	0	8.833333333	0	0	30.16666667	223.1666667	0	0.333333333	0	7.166666667	11.16666667	0	0	0	2.666666667	0	0	0	0	0	381.6666667	278.8333333	13	0	1.833333333	0	1	0.5	0.333333333	0	1.666666667	0	0	0	0	0	4	5.833333333	0	103.6666667	0.666666667	0	0.666666667	0	0	0	0	29.33333333	0.333333333	0.166666667	0	0	0	0	0	0	33.5	0.5	0	43.66666667	2.333333333	0	28.83333333	0	0	0	0	0	2.666666667	0	0	0	0	5.5	0.5	0	0	0	0	0	0	0	66.83333333	0.333333333	4.833333333	27	1.166666667	2.333333333	0	0	16.33333333	0	11633.33333	3558.166667	3927.166667	377.5	13637.5	44.83333333	0	5.666666667	0	7	4.666666667	6.333333333	0.166666667	0	1.5	39.33333333	0	0.333333333	0.5	0	0	29.5	140.6666667	0	0.833333333	0	0.666666667	51.5	17.16666667	0	21.16666667	0	47.66666667	0	0	0	15.33333333	16.16666667	641.1666667	2	0	0.333333333	0	0.166666667	21	0	3	3.5	0	3.333333333	6.166666667	2	0	0	0.333333333	0	0	0	230.5	16	9.666666667
10	1.15	0	0	0	0.833333333	0.5	40	0	2	483.3333333	2.166666667	0.666666667	0	1.333333333	0.5	14	0.833333333	2.333333333	0	14.33333333	845.3333333	0	34.83333333	2.833333333	0	18.5	3810.666667	521.6666667	1.166666667	0	6.166666667	0	10	3.166666667	270.5	0	0	0	0	0	0	3.166666667	0	3.166666667	2.666666667	0	33.16666667	28.83333333	871.5	16.16666667	0.166666667	5.666666667	448.1666667	2.5	0	0	0.833333333	64.66666667	0	0	1	1.166666667	0	0	449.1666667	0	0.166666667	0.666666667	205.1666667	2	1.333333333	0	9.5	0	0	5.333333333	0.5	6	0	0	42.33333333	188.6666667	0	6.333333333	0	6	14.33333333	0	0	0	3.5	1	0	0.166666667	0	0	281	106.3333333	2.5	0	7.5	0	0.333333333	0	7	0	0	0	0	0	0	0	13.83333333	2.5	1.833333333	45.83333333	0.333333333	0	6.333333333	0	0.5	0	0	67.66666667	0	0.5	0	0	0	0	0	0.5	58	1.166666667	0.166666667	48.5	2.333333333	0	30.83333333	0	0	0.333333333	1.166666667	0	8.5	0	0	0	0	2.833333333	0	0	0	0	0	0	0.333333333	0	92.5	0	4.5	24.5	0.5	7.333333333	0	0	23.33333333	0.333333333	9176	2841.5	5309	379.5	13789.33333	51.66666667	0.666666667	12	0.333333333	0.5	0	5	0.333333333	0	0.166666667	6.333333333	0	2.166666667	0	0	0	17.33333333	154.5	0.666666667	0	0	0.166666667	90.33333333	12.83333333	0	34.66666667	0	298.6666667	0	0	0	11.5	16.66666667	974.3333333	1.166666667	1	3.666666667	0	0.166666667	19.33333333	0	1.333333333	3.333333333	0	1.166666667	0.166666667	1.833333333	0	0	0	0	0	0.5	256.5	17.83333333	12.5
