	Protein	Fat	Ash	Sugar	Saponin	Collagen	VA	VE	Taurine	CS	Na	Mg	Ca	K	P	Fe	Cu	Zn	Mn	Se
1	50.42	2.25	29.26	8.83	0.94	14.39	0.0299	0.112	417.91	10.35	88600	12600	8370	11600	4410	27.2	1.43	20.9	3.7	1.14
2	49.36	2.64	29.1	8.62	1.07	14.86	0.0299	0.105	465.51	7.77	83000	11800	8060	10500	4240	40.3	1.43	19.7	4.2	1.22
3	50.52	2.76	28.12	8.33	1.06	14.24	0.0262	0.111	490.02	11.92	79500	11100	7250	10600	4200	32.1	1.38	19.4	3.55	1.06
4	50.92	3.63	30.42	8.02	1.42	15.63	0.04	0.117	491.09	17.37	89300	12600	8850	11500	4450	30.9	1.52	21.5	4.6	1.03
5	51.9	3.09	28.58	8.33	0.86	15.6	0.0376	0.138	470.6	24.94	87600	12400	8670	11400	4420	38	1.48	22.2	4.51	1.22
6	50.54	3.34	29.69	7.93	0.9	15.76	0.0493	0.138	462.57	12.53	80900	11300	7440	10200	3890	33.3	1.37	19	3.5	0.89
7	52.1	3.79	28.49	8.79	1.33	15.86	0.071	0.222	463.1	9.89	84000	11800	8350	10500	4280	37	1.67	20.6	4.02	1.1
8	53.03	4.52	27.44	8.14	1.24	16.81	0.0783	0.174	492.76	9.62	84300	11900	8390	10800	4160	34	1.43	21.9	3.95	1.13
9	45.24	2.59	35.59	5.87	1.08	18.76	0.0198	0.119	1356.31	40.83	110000	16000	14300	12300	4270	98	1.53	20.2	4.42	4.58
10	44.55	2.51	35.89	6.19	1.15	20.92	0.0363	0.116	1052.1	20.3	109000	16400	15000	12800	4630	112	1.94	20.8	4.97	5.01
11	48.42	2.13	34.08	5.97	1.14	18.93	0.0298	0.106	1230.13	49.07	105000	15300	11400	11800	4100	76.5	1.4	18	3.39	4.54
12	45.37	4.14	29.55	9.38	1.31	14.53														
13	43.23	4.94	32.42	9.44	1.22	12.75	0.048	0.194	1120.95	7.7	104000	14500	10500	11400	3910	48.7	1.44	16.4	2.98	3.37
14	44.76	5.76	31.22	10.34	1.21	12.09	0.0688	0.18	1204.2	6.83	90100	12700	9490	10400	3710	51.6	1.34	16.6	3	2.98
15	44.84	5.34	29.36	11.18	1.41	13.94	0.0356	0.193	1243.34	9.18	86100	12100	8830	9960	3650	64.3	1.4	16.4	2.79	3.53
16	44.21	5.11	30.75	10.23	1.22	11.69	0.106	0.211	1022.48	7.92	90800	12600	9640	10200	3600	58.1	1.31	17.4	3.29	3.12
17	43.95	2.61	34.16	7.41	1.3	13.24	0.0334	0.157	1237.93	72.99	99400	15000	16500	11600	3990	483	1.52	16.5	21.4	2.48
18	43.59	3.33	33.21	7.75	1.3	11.68	0.0378	0.198	1252.94	47.06	97000	14300	14600	11100	3780	375	1.41	15.8	16.7	2.23
19	43.11	3.2	32.32	8	1.41	12.52	0.0265	0.111	1290.42	57.2	95000	14000	14000	10900	3840	408	1.45	15.3	17.7	2.17
20	42.65	3.5	32.62	7.88	1.4	12.31	0.0473	0.163	1289.1	58.61	87800	12900	13300	9740	3430	378	1.28	14.9	16	2.07
21	44.19	3.43	32.05	8.62	1.26	13.17	0.0251	0.132	1216.82	36.7	101000	14700	13900	11000	3720	321	1.46	16.8	12.7	2.04
22	43.83	3.62	31.96	8.72	1.41	12.87	0.0217	0.238	1236.2	35.76	94500	13800	12900	10500	3620	342	1.43	15.3	12.4	2
23	48.4	4.91	28.43	9.43	1.37	19.42	0.0482	0.268	1089.85	31.96	84400	12300	10900	10400	4080	152	7.14	19.1	22.2	2.94
24	49.09	5.27	26.63	10.24	1.33	18.33	0.0522	0.268	1141.14	27.45	80200	11800	9730	10300	4330	79.3	1.68	17.7	18.8	2.79
25	47.57	5.44	27.61	10.39	1.09	15.19	0.0576	0.306	1125.44	31.13	81100	11800	9730	10200	4330	114	1.44	18.3	19.9	3.12
26	48.47	4.56	27.72	10.57	1.06	16.03	0.0497	0.171	1178.06	100.12	82600	12100	11700	10100	4210	216	1.43	16.8	28.6	2.28
27	49.05	5.06	26.74	10.64	1.07	14.67	0.0374	0.233	979.85	11.83	77300	11300	9060	9900	4130	150	1.41	17	20.5	2.77
28	50.13	5.06	26.66	9	1.13	17.51	0.0499	0.237	1053.88	12.03	79500	11500	9490	9090	4120	86.1	6.94	18	15	2.01
29	48.86	4.72	28.56	7.35	1.08	16.76	0.0475	0.302	997.18	9.46	89500	13000	11200	10500	4270	119	1.38	18.6	19	2.78
30	44.17	5.7	26.09	10.61	2.32	16.46	0.0541	0.193	1470.33	73.12	77500	11800	11500	11200	5060	59.7	1.52	19.7	8.25	2.01
31	43.24	5.55	26.39	9.08	2.74	15.33	0.0443	0.221	1406.01	57.39	83700	12600	10400	11500	5020	57.5	3.04	20.2	8.38	2
32	43.04	6.17	25.84	9.38	2.5	12.32	0.0422	0.202	1415.1	58.87	79200	11900	11000	11100	4750	78.7	1.8	19.9	7.72	1.89
33	44.69	6.7	27	9.95	2.42	11.29	0.12	0.26	1407.78	62.77	80900	12200	10700	11300	4790	79.9	1.82	18.2	8.5	1.84
34	45.49	6.62	26.22	8.87	2.44	14.4	0.0356	0.222	1448.9	59.82	81500	12400	10200	11100	4860	42.3	1.47	20.7	7.84	1.74
35	45.51	6.65	26.31	9.56	2.58	15.28	0.0359	0.185	1274.89	54.21	85700	13000	9050	11400	4730	33.5	1.53	18.6	7.53	1.71
36	46.1	3.98	29.12	9.05	1.76	11.45	0.0248	0.128	1632.86	33.81	88100	13500	10100	10700	3810	72	3.17	17.7	9.88	4.54
37	46.43	4.21	27.96	11.03	1.76	11.09	0.0371	0.124	1788.31	25.19	88000	13600	10900	10900	3940	80.2	1.59	16.3	11.4	4.25
38	44.38	4.1	28.5	9.57	1.59	10.44	0.0169	0.123	1930.61	26.15	88600	13800	11800	10600	3920	57.4	3.49	16.5	11.3	4.92
39	44.75	4.36	28.8	8.38	1.63	14.96	0.0269	0.132	1441.52	19.17	83700	12800	10200	9570	3470	59.6	1.67	14.4	11	4.72
40	43.99	3.68	26.97	9.11	1.58	14.53	0.0137	0.117	1749.59	23.83	85000	12800	10800	10300	3680	51.9	3.56	18	10.1	5.05
41	40.12	4.52	32.27	8.46	1.74	13.33	0.0165	0.133	1278.54	54.84	91800	13900	15200	11600	4350	106	1.41	19.4	10.1	2.89
42	40.89	5.17	29.69	8.64	1.85	13.27	0.0157	0.215	1463.98	53.07	91500	13700	10500	11300	4130	65.4	1.25	17.7	8.2	3.07
43	45.23	4.77	29.2	9.43	1.28	11.42	0.0393	0.145	1411.54	49.04	96000	14200	11200	10300	4150	125	1.91	15.7	8.37	2.86
44	45.76	4.83	28.28	9.56	1.4	11.26	0.0586	0.189	1397.35	42.18	92600	13500	10100	10800	4130	97.6	1.32	15.4	7.02	2.96
45	45.13	4.62	28.06	9.61	1.34	10.95	0.0583	0.167	1405.89	46.01	89500	13100	10800	10100	4040	126	1.41	15.8	7.55	2.4
46	46.07	4.32	28.59	9.71	1.24	11.86	0.0575	0.135	1544.2	51.08	88900	12900	9340	9750	3780	90.7	1.35	15.1	6.52	2.79
47	47.33	4.84	27.48	9.96	1.3	11.31	0.051	0.099	1390.88	42.17	88000	12800	9660	9650	3970	186	1.4	14.6	7.53	2.68
48	45.63	4.54	28.75	10.04	1.28	12.29	0.067	0.24	1334.15	47.48	85700	12400	9450	9360	3610	82.6	1.18	13.5	5.64	2.62
