	Saponin	Crenarchaeota	Euryarchaeota	AC1	AD3	Acidobacteria	Actinobacteria	Armatimonadetes	BHI80-139	BRC1	Bacteroidetes	CD12	Caldiserica	Caldithrix	Chlamydiae	Chlorobi	Chloroflexi	Cyanobacteria	Deferribacteres	Elusimicrobia	Fibrobacteres	Firmicutes	Fusobacteria	GAL15	GN02	GN04	Gemmatimonadetes	H-178	Hyd24-12	KSB3	Kazan-3B-28	LD1	Lentisphaerae	MVP-21	NC10	NKB19	Nitrospirae	OD1	OP1	OP11	OP3	OP8	OP9	PAUC34f	Planctomycetes	Proteobacteria	SAR406	SBR1093	SC4	SR1	Spirochaetes	Synergistetes	TA06	TM6	TM7	Tenericutes	Thermotogae	Verrucomicrobia	WPS-2	WS2	WS3	WS4	WS5	WS6	WWE1	ZB3	[Caldithrix]	[Thermi]	unclassified_Bacteria	unidentified_Bacteria
1	0.94	0	0	0	0	404.6666667	966	0	0	0	5241.333333	2	0	1	18.66666667	5	192	314	0	4.666666667	0	1138.666667	302.6666667	0	0	0	47	0	0	9.666666667	0	0	0.666666667	0	0	0	30	48.66666667	0	0.666666667	0.666666667	1	0	0	71	33280.66667	0	1.666666667	0	0	0	0	0	57.33333333	73	21.66666667	0	411.3333333	10.33333333	0	18	0	0	0	0	0	0	186.6666667	7.666666667	2.666666667
2	1.07	0	0	0	10.33333333	279.5	942	3.166666667	4.5	1	4589.833333	0	0	0.5	67.83333333	1.5	174.6666667	128.6666667	0	4	0	647	82	1.166666667	5.333333333	0.666666667	64.33333333	0	0	4.5	0	0.333333333	0.166666667	0	0	0.166666667	10.5	76	0.166666667	1	0	2.166666667	0	0	57.66666667	34666.83333	0.166666667	10.83333333	0.5	0	0	0	0	54	19.16666667	54.5	0	446.3333333	11.5	1.166666667	3	0	0.833333333	1.5	0	0	0	376.1666667	56.66666667	6
3	1.06	0	0	0	0	272.3333333	1430.5	3.333333333	0	1.666666667	7264	0.166666667	0	0	153.6666667	6.166666667	206.8333333	180.8333333	0	2.5	0	767.3333333	140.3333333	0	4	0	47.16666667	0	0	4.166666667	0	0	1.333333333	0	0	0.833333333	21.33333333	49.5	0	2.5	0.833333333	5.166666667	0.5	0	53	30631.5	0.666666667	14.33333333	0.833333333	0	0.5	0	0	118.3333333	152.8333333	204.6666667	0	914.1666667	8.833333333	2.166666667	2	0	0	3.833333333	0	0	0	170.8333333	12.5	13
4	1.42	0	0	0	0	356	923.1666667	0.5	0	2.833333333	8707.5	0	0	0	92.33333333	0	292.3333333	129.3333333	0.333333333	0.833333333	0	334.1666667	433.5	0	0	0	15	0	0	7.333333333	0	0.166666667	1.5	0	0	0	10.33333333	76.5	0	2.333333333	0	4.666666667	0	0	61.16666667	29972.66667	2	7.5	0.166666667	0	1	0	0	95.33333333	79.66666667	56.83333333	0	856.3333333	6.166666667	0	1.833333333	0	0	2	0	0.333333333	0	308	19	10.33333333
5	0.86	0	0	0	0	29.66666667	397.6666667	0	0	0	9727.333333	0	0	0	63.66666667	1.333333333	27.66666667	32.33333333	0	0	0	186.3333333	23.33333333	0	6.333333333	0.333333333	4.333333333	0	0	0	0	0	3	0	0	0	2	7.666666667	0	0	0	0	0	0	24.33333333	31968.66667	0.333333333	6.666666667	0	0	3	0.666666667	0	26	16.66666667	67.66666667	0	190.3333333	3	0	0.333333333	0	0	0.666666667	0	0	0	28.33333333	13.33333333	8
6	0.9	0	0	0	0	607.6666667	1244.666667	5.666666667	0	0	9127	0.666666667	0	0	49	0	462.6666667	128.3333333	0	1.666666667	0	828.3333333	14.66666667	0	2	0.333333333	51.33333333	0	0	16.33333333	0	1	0.666666667	0	0	1	13	55	0	3.666666667	0	3.666666667	0	0	104	26566.33333	0.333333333	3	0.666666667	0	0	0	0	92.66666667	31.66666667	597.6666667	0	2549.333333	3.666666667	0	1.333333333	0	0	0.333333333	0	0	0	217.3333333	71	13.33333333
7	1.33	0	0	0	0	59.5	273	0	0	1.5	24552.5	0	0	0	31.5	0.5	28	44.5	0	0	0	294	20	0	5.5	0.5	7	0	0	1	0	0	0	0	0	0	5	5	0	0	0	0	0	0	7.5	17151.5	0	6	0	0	1	0	0	16	34.5	4	0	278.5	1.5	0	0	0	0	0	0	0	0	33	5.5	3
8	1.24	0	0	0	0	12	1065	6	0	0	1658	0	0	0	26	0	0	117	0	0	0	1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	49	34812	0	0	0	0	0	0	0	0	6	3552	0	29	20	0	0	0	0	0	0	0	0	141	52	3
9	1.08	0	0	0	3.333333333	944.6666667	3988.5	0.833333333	0	4	1516.166667	0	0	0	66.5	3.166666667	485.5	272	0	2.666666667	0	673.5	1.833333333	0	3.5	0	114.8333333	0	0	29.33333333	0.333333333	0.166666667	0	0	0	0	33.5	75.33333333	0	2.666666667	0	6	0	0	118.8333333	33184.16667	7	11.16666667	0	1.5	39.66666667	0.5	0	171	90.5	47.66666667	0	675.1666667	21	3	3.5	0	3.333333333	8.166666667	0.333333333	0	0	230.5	16	9.666666667
10	1.15	0	0	0	1.333333333	1463	4623.333333	3.166666667	0	5.833333333	1406.166667	0	0	0.833333333	64.66666667	2.166666667	679.8333333	257.6666667	0	4.5	0.166666667	389.8333333	7.5	0	7.333333333	0	71.16666667	0	0	67.66666667	0	0.5	0	0	0	0.5	58	83	0	10	0	2.833333333	0	0	153.3333333	31560	0.5	5.333333333	0	0.166666667	8.5	0	0	172.5	138	298.6666667	0	1008.5	19.33333333	1.333333333	3.333333333	0	1.166666667	2	0	0	0.5	256.5	17.83333333	12.5
